================ Training Loss (Tue Sep  8 19:09:50 2026) ================
[Rank 0] (epoch: 1, iters: 100, time: 0.206, data: 0.127) , G_GAN: 0.436, G_NCE: 4.912, Proj_distill: 0.012, Proj_pyramid: 0.381, Proj_sparse: 0.008, D: 0.331, noise_std: 0.299, white_ratio: 0.000

[Rank 0] (epoch: 1, iters: 200, time: 0.314, data: 0.074) , G_GAN: 0.904, G_NCE: 4.389, Proj_distill: 0.006, Proj_pyramid: 0.246, Proj_sparse: 0.005, D: 0.350, noise_std: 0.298, white_ratio: 0.001

[Rank 0] (epoch: 1, iters: 300, time: 0.208, data: 0.081) , G_GAN: 0.184, G_NCE: 3.937, Proj_distill: 0.007, Proj_pyramid: 0.309, Proj_sparse: 0.007, D: 0.173, noise_std: 0.297, white_ratio: 0.000

[Rank 0] (epoch: 1, iters: 400, time: 0.206, data: 0.067) , G_GAN: 0.171, G_NCE: 3.363, Proj_distill: 0.006, Proj_pyramid: 0.299, Proj_sparse: 0.006, D: 0.107, noise_std: 0.296, white_ratio: 0.000

[Rank 0] (epoch: 1, iters: 500, time: 0.204, data: 0.067) , G_GAN: 0.186, G_NCE: 3.304, Proj_distill: 0.003, Proj_pyramid: 0.216, Proj_sparse: 0.004, D: 0.079, noise_std: 0.295, white_ratio: 0.004

[Rank 0] (epoch: 1, iters: 600, time: 0.208, data: 0.067) , G_GAN: 0.185, G_NCE: 3.130, Proj_distill: 0.001, Proj_pyramid: 0.124, Proj_sparse: 0.003, D: 0.075, noise_std: 0.294, white_ratio: 0.001

[Rank 0] (epoch: 1, iters: 700, time: 0.207, data: 0.067) , G_GAN: 0.185, G_NCE: 2.990, Proj_distill: 0.001, Proj_pyramid: 0.065, Proj_sparse: 0.002, D: 0.087, noise_std: 0.293, white_ratio: 0.002

[Rank 0] (epoch: 1, iters: 800, time: 0.206, data: 0.068) , G_GAN: 0.245, G_NCE: 2.595, Proj_distill: 0.002, Proj_pyramid: 0.182, Proj_sparse: 0.004, D: 0.056, noise_std: 0.292, white_ratio: 0.003

[Rank 0] (epoch: 1, iters: 900, time: 0.203, data: 0.069) , G_GAN: 0.149, G_NCE: 2.929, Proj_distill: 0.002, Proj_pyramid: 0.179, Proj_sparse: 0.004, D: 0.090, noise_std: 0.291, white_ratio: 0.002

[Rank 0] (epoch: 1, iters: 1000, time: 0.296, data: 0.074) , G_GAN: 0.192, G_NCE: 2.734, Proj_distill: 0.002, Proj_pyramid: 0.189, Proj_sparse: 0.004, D: 0.063, noise_std: 0.290, white_ratio: 0.002

[Rank 0] (epoch: 1, iters: 1100, time: 0.204, data: 0.088) , G_GAN: 0.197, G_NCE: 2.727, Proj_distill: 0.002, Proj_pyramid: 0.188, Proj_sparse: 0.004, D: 0.060, noise_std: 0.289, white_ratio: 0.002

[Rank 0] (epoch: 1, iters: 1200, time: 0.206, data: 0.062) , G_GAN: 0.265, G_NCE: 2.470, Proj_distill: 0.001, Proj_pyramid: 0.104, Proj_sparse: 0.002, D: 0.051, noise_std: 0.288, white_ratio: 0.001

[Rank 0] (epoch: 1, iters: 1300, time: 0.202, data: 0.077) , G_GAN: 0.179, G_NCE: 2.653, Proj_distill: 0.001, Proj_pyramid: 0.151, Proj_sparse: 0.003, D: 0.077, noise_std: 0.287, white_ratio: 0.001

[Rank 0] (epoch: 1, iters: 1400, time: 0.206, data: 0.065) , G_GAN: 0.156, G_NCE: 2.550, Proj_distill: 0.001, Proj_pyramid: 0.128, Proj_sparse: 0.003, D: 0.052, noise_std: 0.286, white_ratio: 0.001

[Rank 0] (epoch: 1, iters: 1500, time: 0.209, data: 0.067) , G_GAN: 0.271, G_NCE: 2.306, Proj_distill: 0.000, Proj_pyramid: 0.085, Proj_sparse: 0.002, D: 0.044, noise_std: 0.285, white_ratio: 0.004

[Rank 0] (epoch: 1, iters: 1600, time: 0.205, data: 0.069) , G_GAN: 0.244, G_NCE: 2.558, Proj_distill: 0.001, Proj_pyramid: 0.144, Proj_sparse: 0.003, D: 0.055, noise_std: 0.284, white_ratio: 0.003

[Rank 0] (epoch: 1, iters: 1700, time: 0.205, data: 0.059) , G_GAN: 0.214, G_NCE: 2.536, Proj_distill: 0.002, Proj_pyramid: 0.190, Proj_sparse: 0.004, D: 0.068, noise_std: 0.283, white_ratio: 0.001

